NK,MSB_Cat_NUM,PE6 Number,Cat-owner,cat-owner-initials,Personal Catalog No.,OTHER_ID_NUM_1 PersonalCatalogNo.,Preparator,Sex,Gonads,Skull,Bursa,Molt,Fat,Prep catalog notes,SOFT PART COLORS,Voucher_Specimen_Disposition,skin (0/1),skel(0/1),skel (0/p/c),spreadwing (0/1),Stomach contents,Habitat,Collection method,Prep Catalog mass,Blood catalog mass,mass at death,Mass at capture,Mass for analyses,Order,Family,Scientific name,subspecies,Individual,DAY,MONTH,YEAR,Locality (abbrev.),Elevation,HIGHER_GEOG,Department,Provincia,distrito,Locality-description,LatDecDegS,LongDecDegW,Latitude  degrees S,Latitude minutes,Longitude degrees W,Longitude minutes,Datum,Error-Locality ,Units-error-locality,GPS Notes,time of death to tissues taken,time of death to RNAL8r,flight video?,RNAl8r or alcohol?,frozen muscle,Pect->RNAl8r,Hct-saved,Whole blood (HEP/EDTA & volume),Heart-saved (B/C/0) ,Lung saved (B/C/0),Pancreas-saved (0/1),eyes saved(0/1),brain saved(0/1),Tissue NOTES,tHb,tHbcorr,Uno-corr-factor,Uno-corr-fact2,Hct-column-after,Hct-top,Hct-bottom,Hct-middle-calculated,Hct-ratio,2ndHct-column,2ndHct-top,2ndHct-bottom,2ndHct-middle-calculated,2ndHct-ratio,wtAVG-Hct,HctBestEstimate,Time in captivity (hrs) (note if fed),Time of Bleeding,Blood_Notes
161030,27263,,Christopher C. Witt,CCW,1214,CCW 1214,Emil Bautista O.,male,Testis (mm): 1x1,50% ossified,bursa (mm): 4x3,"light head, neck, and body; no wing or tail molt",not recorded,,,salted skin,1,0,0,,,Upper tropical second growth forest in matrix of forest,netted,,14.6,14.6,,14.6,Passeriformes,Thraupidae,Hemispingus melanotis,,,31,March,2007,SanPedro,1395,"South America, Peru, Departamento Cuzco",Cuzco,Paucartambo,,San Pedro,,,13,3.33,71,32.8,WGS84,300,m,,,,,,1,1,,,,,,,,,failed,,?,,37.2,8.6,6.2,7.4,0.198924731,,,,0,#DIV/0!,0.198924731,0.19892,"too long, bird near death",,
162850,28264,,Emil Bautista O.,EBO,511,EBO 511,Emil Bautista O.,male,Testis (mm): 1x1,40% ossified,bursa (mm): 6x4,leve ,none,,"iris marrón; maxila negra, mandibula gris claro y patas negras",salted skin,1,0,0,,,montane scrub,netted,10.7,10.7,10.7,,10.7,Passeriformes,Troglodytidae,Troglodytes aedon,,,21,July,2007,Carhuayumac,3750,"South America, Peru, Departamento Lima",Lima,Huarochiri,San Pedro de Casta,Carhuayumac,,,11,45.713,76,32.932,WGS84,300,m,,,,,,,,,,,,,,,,9.2,8.2,1,,23.11,0.66,4.91,2.785,0.120510601,30.56,9.59,7.2,8.395,0.274705497,0.208310043,0.20831,,,
219434,42496,,Spencer C. Galen,SCG,92,SCG 92,Spencer C. Galen,female,ovary (mm): 2X2 mm,undescribed,bursa (mm): 4X4 mm,light body and moderate head molt,trace,,"irides light brown, maxilla black, mandible light yellow w/ dust tip, toes and tarsi dark brown, toe pads tan",,1,,p,0,0,chusquea bamboo in humid temperate forest,netted,,,,,24.86,Passeriformes,Troglodytidae,Pheugopedius euophrys,,,6,July,2012,Chontali,2510,"South America, Peru, Departamento Cajamarca",Cajamarca,Jaen,Chontali,ca. 2.8 km NW Agua Azul,,,5,35.097,79,9.458,WGS84,12,m,,~4,,,,1,2,,,f,0,0,0,0,,,,,,14.64,4.13,2.09,3.11,0.212431694,,,,,,0.212431694,0.212431694,,,
218940,42312,,C. Gregory Schmitt,CGS,7564,CGS 7564,C. Gregory Schmitt,male,Left testis (mm): 0.5x0.5 mm,0% ossified,bursa (mm): 4x3 mm,"molt on  back, rump, and belly, no wing to tail molt",none,,"iris- brown, bill- blackish, tarsi and toes-tan, pads- dull yellowish",,1,,p,0,empty,understory humid forest with tree ferns,netted,,,,,17.19,Passeriformes,Parulidae,Myiothlypis coronata,,,23,June,2012,Las Pinas,2150,"South America, Peru, Departamento Amazonas",Amazonas,Utcubamba,Jamalca,ca. 7.4 km SW Las Pinas,,,6,2.953,78,13.611,WGS84,12,m,,5,,,,1,2,,,0,0,0,w/ HLM,0,,9.8,8.8,,,22.1,5.9,3.2,4.55,0.205882353,32.2,8.8,5.2,7,0.217391304,0.212707182,0.212707182,3.25,,
169044,33818,,Michael J. Lelevier,MJL,434,MJL 434,Michael J. Lelevier,male,testes minute ,100% ossified,no bursa,no molt,light,"hypoxia experimental individual 1, 15 hrs @ 12.900 % o2 (dec 19-20)",,"frozen(muscle,heart,lung); tiss(buffx2);blood;skin",1,0,0,,full seeds,Acacia forest with bushy understory,netted,11.02,,,,11.85,Passeriformes,Thraupidae,Poospiza hispaniolensis,,,20,December,2009,ca. 9.8 km N. of Olmos,133,"South America, Peru, Departamento Lambayeque",Lambayeque,Lambayeque,Olmos,ca. 9.8 km N. of Olmos,5.89614,79.78522,5,53.7684,79,47.1132,WGS84,6,m,,0.15,,,,1,2,1,,C,C,,,,Hypoxia treatment: 15 hrs @ 12.908% O2,5.3,4.3,,,25.13,7.56,3.52,5.54,0.220453641,,,,,,,0.220453641,,,hypoxia 15hrs @ 12.900% O
163661,31989,,C. Gregory Schmitt,CGS,6911,CGS 6911,C. Gregory Schmitt,male,Left testis (mm): 8 x 4 mm,100% ossified,no bursa,light molt on back,none,,irides brown; bill black; tarsi and toes medium gray,skin,1,0,0,,empty,humid subtropical forest,netted,15.72,15.72,15.72,,15.72,Passeriformes,Troglodytidae,Henicorhina leucophrys,,,5,July,2008,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande, 4.5 km N Tullanya",2136,"South America, Peru, Departamento Amazonas",Amazonas,Utcubamba,Lonya Grande,ca. 4.5 km N Tullanya,,,6,6.175,78,20.602,WGS84,6,m,,,,,,y,,Y,,y,,,,,,8.7,7.7,,,32.37,7.44,6.23,6.835,0.211152302,9.18,3.42,1.32,2.37,0.258169935,,0.221540313,,,bird clearly very stressed; UNUSABLE blood data
175397,36466,,C. Jonathan Schmitt,CJS,822,CJS 822,C. Jonathan Schmitt,female,"ovary (mm): 7X4 mm, granular; oviduct-convoluted, 1 mm wide",100% ossified,no bursa,no molt,trace,,irides-brown; maxilla-black; mandible-blue-gray with black tip; tarsi and toes-blue-gray,,1,1,P,0,arthopod parts,humid subtropical forest,netted,20.39,,,,20.39,Passeriformes,Thamnophilidae,Myrmoborus myotherinus,,,28,June,2011,Plataforma,1226,"South America, Peru, Departamento San Martin",San Martin,Bellavista,Alto Biavo,ca. 2.7 km south of Plataforma,7.40883,76.26837,7,24.5298,76,16.1022,WGS84,10,m,,4,,,RNAl8r,1,2,1,,0,0,0,0,,,,,1,,28.63,7.42,4.85,,0.214285714,21.26,7.74,2.64,,0.244120414,0.226999399,0.226999399,4,,
161271,27497,,Jano Alex Nunez Zapata,JNZ,199,JNZ 199,Jano Alex Nunez Zapata,female,ovary (mm): 8x2 mm,100% ossified,no bursa,light at back,light,,"iris brown, maxilla black, mandible orange with black tip, legs grayish pink",salted skin,1,0,0,,,Upper tropical second growth forest in matrix of forest,netted,9.3,9.3,9.3,,9.3,Passeriformes,Tyrannidae,Mionectes oleagineus,,,12,April,2007,San Pedro,1395,"South America, Peru, Departamento Cuzco",Cuzco,Paucartambo,,San Pedro,,,13,3.33,71,32.8,WGS84,300,m,,,,,,1,1,1,,,,,,,,8.1,7.1,1,1,53.1,13.7,11.5,12.6,0.237288136,,,,0,#DIV/0!,0.237288136,0.23729,,,
176611,41579,,Elizabeth J. Beckman,EJB,275,EJB 275,Emil Bautista O.,male,Testes: 5.5x3mm,100% ossified,no bursa,no molt,none,,"Iris: dark brown, maxilla: black, mandible: white with black tip, feet: slate",,1,,p,0,arthropods,humid riparian subtropical forest,netted,,,,,14.35,Passeriformes,Tyrannidae,Myiobius villosus,,,5,June,2012,Nuevo Mundo,1465,"South America, Peru, Departamento Amazonas",Amazonas,Bagua,Imaza,ca. 1.75 km N Gozen,,,5,12.463,78,38.867,WGS84,7,m,,2,,,,1,2,,,f,,,,,,6.6,,,,13.44,5,1.67,3.335,0.248139881,21.16,7.21,3.33,5.27,0.24905482,0.248699422,0.248699422,2.25,,
163990,32318,,Donna C. Schmitt,DCS,6048,DCS 6048,Donna C. Schmitt,male,Left testis (mm): 1x1 mm,90% ossified,no bursa,"heavy molt all over body,left wing primaries 3 and 4",none,,"iris-brown, bill-black, toes and tarsi-dark brown",skin,1,0,0,,few insect parts,humid subtropical forest,netted,15.95,,,,15.95,Passeriformes,Troglodytidae,Henicorhina leucophrys,,,14,July,2008,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande",2131,"South America, Peru, Departamento Amazonas",Amazonas,Utcubamba,Lonya Grande,ca. 4.5 km N Tullanya,,,6,6.203,78,20.618,WGS84,100,m,,,,,,y,,,,Y,,,,,,8.8,7.8,,,18.55,4.4,3.08,3.74,0.201617251,15.94,5.86,3.83,4.845,0.303952321,,0.248912728,,,
