"","nk","msb_cat_no","arctos_url","order","family","species","day","month","year","lat","long","elevation","sex","mass","hb","hct","hct_percent","rbc","mchc","mcv","mch","notes"
"1",175040,36209,"https://arctos.database.museum/guid/MSB:Bird:36209","Accipitriformes","Accipitridae","Accipiter striatus",17,"June",2011,-7.42333333333333,-76.2933833333333,1746,"male",92.5,NA,0.471727105,47.1727105,NA,NA,NA,NA,NA
"2",176716,41684,"https://arctos.database.museum/guid/MSB:Bird:41684","Accipitriformes","Accipitridae","Accipiter striatus",9,"June",2012,-5.20851666666667,-78.6367333333333,1777,"female",152.5,13.8,0.438342318,43.8342318,NA,31.4822444316225,NA,NA,NA
"3",175425,36494,"https://arctos.database.museum/guid/MSB:Bird:36494","Accipitriformes","Accipitridae","Accipiter superciliosus",29,"June",2011,-7.40883,-76.26837,1226,"male",87.38,17.1,0.531162691,53.1162691,NA,32.1935261827341,NA,NA,NA
"4",161047,27280,"https://arctos.database.museum/guid/MSB:Bird:27280","Apodiformes","Trochilidae","Adelomyia melanogenys",2,"April",2007,-13.0555,-71.5466666666667,1395,"female",3,19.6,0.55693,55.693,5.31,35.1929326845385,104.883239171375,36.9114877589454,NA
"5",161071,27303,"https://arctos.database.museum/guid/MSB:Bird:27303","Apodiformes","Trochilidae","Adelomyia melanogenys",3,"April",2007,-13.0555,-71.5466666666667,1395,"female",2.9,19.3,0.56504,56.504,5.75,34.156873849639,98.2678260869565,33.5652173913044,NA
"6",161072,27304,"https://arctos.database.museum/guid/MSB:Bird:27304","Apodiformes","Trochilidae","Adelomyia melanogenys",3,"April",2007,-13.0555,-71.5466666666667,1395,"male",3.1,18.8,0.58808,58.808,6.72,31.9684396680724,87.5119047619048,27.9761904761905,NA
"7",161266,27492,"https://arctos.database.museum/guid/MSB:Bird:27492","Apodiformes","Trochilidae","Adelomyia melanogenys",12,"April",2007,-13.0555,-71.5466666666667,1395,"male",3.9,16.7,0.45692,45.692,6.65,36.5490676704894,68.7097744360902,25.1127819548872,NA
"8",161267,27493,"https://arctos.database.museum/guid/MSB:Bird:27493","Apodiformes","Trochilidae","Adelomyia melanogenys",12,"April",2007,-13.0555,-71.5466666666667,1395,"male",3.58,18.1,0.52295,52.295,6.91,34.6113395162061,75.6801736613603,26.1939218523878,NA
"9",161320,27542,"https://arctos.database.museum/guid/MSB:Bird:27542","Apodiformes","Trochilidae","Adelomyia melanogenys",13,"April",2007,-13.0391666666667,-71.5293333333333,1227,"female",3.2,18.4,0.5566,55.66,6.58,33.0578512396694,84.5896656534954,27.9635258358663,NA
"10",161331,27552,"https://arctos.database.museum/guid/MSB:Bird:27552","Apodiformes","Trochilidae","Adelomyia melanogenys",14,"April",2007,-13.0555,-71.5466666666667,1395,"male",2.7,17.8,0.51203,51.203,7.02,34.7635880710115,72.9387464387464,25.3561253561254,NA
