"","species","sample_size","unique_elevations","slope_hb","r2_hb","error_hb","slope_hct","r2_hct","error_hct","slope_mchc","r2_mchc","error_mchc","elev_range","sampling_range","elev_min","elev_max","median_elevation","mass"
"1","Adelomyia_melanogenys",30,16,0.0015542234888461,0.170993158692565,0.000646731690387033,3.97573197544386e-05,0.129703634187871,1.94623642149733e-05,0.000498520625132743,0.011397198957285,0.000877437050196203,1525,0.91672131147541,1100,2625,1862.5,3.85321428571429
"2","Aglaeactis_castelnaudii",17,12,-0.00220281551422733,0.123459356806406,0.00151550202507628,-2.95137604149621e-05,0.0329997392265571,4.12512354131137e-05,-0.00202657952607453,0.0688166889289683,0.00192481381325958,1478,0.540595399188092,3100,4578,3839,6.46352941176471
"3","Aglaeactis_cupripennis",13,7,3.7443805039463e-06,2.10910871392588e-06,0.000777380588172037,1.64146834599707e-05,0.107434558589315,1.42654081419131e-05,-0.00091683913035019,0.0647962479712532,0.00105020719386283,1800,0.708333333333333,2500,4300,3400,6.94615384615385
"4","Aglaiocercus_kingi",15,9,0.0011844483394136,0.219826425880656,0.000618870976388862,2.79561812107166e-05,0.209696941418567,1.50524417098496e-05,0.000533998224559084,0.0330381394256234,0.000801244420835878,1558,0.997432605905006,1300,2858,2079,4.75857142857143
"5","Amazilia_amazilia",35,7,-0.00348927995299043,0.0547091642403479,0.00252482643698154,-0.000162196635450096,0.0884061475536713,9.06659741454861e-05,0.00249498498817144,0.0412049818591821,0.00209507216905278,1200,0.2,0,1200,600,4.73529411764706
"6","Amazilia_chionogaster",5,3,0.000656142437382966,0.191930416168742,0.000777302344646438,-1.47056965652739e-05,0.234127128798708,1.53559767784142e-05,0.00192759748390054,0.562173942145174,0.000982134960260878,2953,0.415171012529631,0,2953,1476.5,5.9405
"7","Amblycercus_holosericeus",6,4,0.00122560089498818,0.0350739530256848,0.0032142061717523,-4.88932063178303e-05,0.357707827925493,3.27582441296253e-05,0.00572234614588156,0.143827467988954,0.00698077848199267,2850,0.192982456140351,0,2850,1425,49.89
"8","Ammodramus_aurifrons",7,5,-0.000946711696371126,0.0176757785474516,0.00315624633389788,-0.000114005726398033,0.424307955521918,5.93876568680862e-05,0.00596681013998095,0.268620137373141,0.00440310896067923,1282,0.297971918876755,0,1282,641,17.4642857142857
"9","Ampelion_rubrocristatus",16,9,0.000522163991626872,0.0384151472835082,0.000698209023493593,2.15237606697031e-05,0.137514673324821,1.44064001453865e-05,-0.000316903749589166,0.0168383421583785,0.000647181600103847,1550,0.993548387096774,2500,4050,3275,56.255
"10","Anairetes_flavirostris",11,9,-0.000101084667675146,0.00329717442088531,0.000585835812263539,1.3302296644212e-05,0.0468485059312932,2.0000390153719e-05,-0.000967341132983908,0.113846862707556,0.000899605820053999,2328,0.656357388316151,1400,3728,2564,5.64545454545455
"11","Anairetes_nigrocristatus",18,8,-0.000292463728553478,0.00217980663141599,0.00156433290549981,-7.99526343691651e-06,0.00226303831465988,4.19696032526662e-05,-9.1989020547193e-05,0.000346120864382744,0.00123591027084599,1850,0.31027027027027,2350,4200,3275,9.43111111111111
"12","Anairetes_reguloides",44,16,0.000790652506778059,0.271893371015132,0.000199645345656733,1.47150252155004e-05,0.178538935149402,4.8703860546528e-06,0.000626537807714285,0.0915855638753847,0.000304474649867995,4140,0.92536231884058,0,4140,2070,7.17
"13","Anisognathus_igniventris",15,8,-0.000211586988867615,0.00405065036631513,0.000920181566151391,2.66616558815039e-05,0.109666478538522,2.1069530395168e-05,-0.00222850582196043,0.0972780864398161,0.00188283203936858,1179,0.808312128922816,2600,3779,3189.5,33.6993333333333
"14","Anisognathus_lacrymosus",10,7,-0.000335670281809783,0.00227645050246457,0.00248452805636446,5.67394770135066e-05,0.132576072524286,5.13125336469504e-05,-0.00485067533693601,0.383871965159742,0.00217269868393941,1700,0.341176470588235,2100,3800,2950,30.984
"15","Arremon_torquatus",13,10,0.00152900889434368,0.0697478858700384,0.00168363706416016,4.67951273315454e-05,0.0707185411293811,5.114595360879e-05,8.31348965993154e-05,9.34632064222623e-05,0.00259266487551758,1621,0.506477483035163,1700,3321,2510.5,39.2053846153846
"16","Asthenes_dorbignyi",4,2,0.00166002656042497,0.348189415041784,0.00160602743990011,3.38474375830014e-05,0.324114962874968,3.45619051348256e-05,0.00087578711022221,0.0336268577685334,0.00331980697734485,2500,0.3012,1800,4300,3050,19.8125
"17","Atlapetes_latinuchus",7,4,-0.00529445737565456,0.217794723862154,0.00448717644568407,-5.85797871632995e-05,0.0493026278111788,0.000115040007194019,-0.00726333739537871,0.558272514469299,0.00288938427222183,2700,0.153703703703704,1100,3800,2450,27.3728571428571
"18","Atlapetes_seebohmi",13,6,0.000864460316941866,0.0667978435968421,0.000974216239641801,2.78170140829115e-05,0.0382802206647192,4.20388885697433e-05,-0.000179946382873732,0.00147702347871446,0.00141069169820696,3040,0.440789473684211,800,3840,2320,29.6515384615385
"19","Automolus_ochrolaemus",12,9,-0.00322175387675328,0.127400661249359,0.00266633036440702,-7.47842283130204e-05,0.212812973935939,4.54830866733522e-05,-0.0014714429811623,0.0344685192654719,0.00246272173562899,1400,0.424285714285714,0,1400,700,36.0033333333333
"20","Boissonneaua_matthewsii",6,3,0.00216535814853844,0.418195940285273,0.00127702150359175,0.00015758062193508,0.68241119790859,5.37504782501843e-05,-0.00500613927229598,0.900962595606313,0.000829887410316891,1300,0.595384615384615,1550,2850,2200,7.11333333333333
"21","Catamblyrhynchus_diadema",17,9,0.00476258113666092,0.0573212057987594,0.00498678871506135,9.56905136412846e-05,0.0472962993858394,0.000110889034359969,0.00328416551715496,0.0215534830929461,0.0057133288422688,1700,0.257058823529412,1800,3500,2650,15.5217647058824
"22","Catamenia_analis",29,17,0.000791928795178458,0.154137160023419,0.000357026579474799,3.23720611628988e-05,0.266939369017843,1.03240976484292e-05,-0.000521220473923557,0.0812956955758463,0.000337204750786766,3400,1,350,3750,2050,11.0231034482759
"23","Catamenia_inornata",14,10,-0.00099493757952332,0.0559978197120621,0.00117925072375059,3.87618638731275e-05,0.0959283261661126,3.43512090033726e-05,-0.00412388305189891,0.284304690028641,0.0018888079033771,1601,0.442848219862586,2800,4401,3600.5,14.4485714285714
"24","Catharus_fuscater",8,4,-0.000919920597797125,0.00548070252161568,0.00505898288424115,5.70253601839376e-05,0.0479753322197218,0.000103706867675033,-0.00477270890470091,0.166039257925005,0.00436673395681469,2200,0.180909090909091,800,3000,1900,30.3275
"25","Pipra_chloromeros",6,5,0.00125437056735011,0.22865071839978,0.00115195393879943,3.38255164461214e-05,0.292959202210752,2.62744180362534e-05,0.000337554261218778,0.00536830646109593,0.0022973443452156,1400,0.667142857142857,0,1400,700,16.075
"26","Cercomacra_serva",6,3,0.00659610808432289,0.188008058447478,0.00685402043766881,0.000255184678767,0.348402378913442,0.000174491304475893,-0.00310222835587196,0.23329873853325,0.00281190511119962,1173,0.287297527706735,0,1173,586.5,16.3016666666667
"27","Chiroxiphia_boliviana",5,4,-0.00486902740722775,0.922129483019784,0.000816906152337667,-0.000179073575680633,0.731267353828994,6.26748061978188e-05,0.00140719777934227,0.0490935155934551,0.003575619949387,750,0.496,900,1650,1275,16.85
"28","Cinclodes_albiventris",27,18,0.00050384371639299,0.0161389609853887,0.000786782946277029,1.09213885297488e-05,0.0109064119765519,2.08010662430078e-05,0.000220418573489911,0.00338249573056139,0.000756700132227525,4900,0.291632653061224,0,4900,2450,29.1051851851852
"29","Cinclus_leucocephalus",11,5,0.00105001982599772,0.0117329860420359,0.00321224837067992,-7.22693603695808e-06,0.000981251845081366,7.68651594285307e-05,0.00236965213464429,0.0867520622035377,0.0025628181316444,3067,0.131724812520378,900,3967,2433.5,39.8790909090909
"30","Coeligena_iris",17,12,-0.000856526904814998,0.0545713340114342,0.000920507810375735,-6.81960749478201e-05,0.295592830980609,2.71818295660772e-05,0.00214969787012352,0.132160463920743,0.00142233119453243,2000,0.4695,1500,3500,2500,6.70823529411765
"31","Coeligena_violifer",38,12,-0.000204133267739264,0.0044774511929859,0.000507309106006566,2.49208560507375e-05,0.0707562386206713,1.50519984284051e-05,-0.00165009572618798,0.115503017926854,0.000761043359480061,1001,1,2778,3779,3278.5,7.69348571428571
"32","Coereba_flaveola",13,7,0.000775313397072307,0.184154874502047,0.000492031829253906,6.92951377970249e-06,0.0127287842407795,1.84005665565802e-05,0.00098811405847554,0.10017196140727,0.000892929986562374,1776,0.929054054054054,0,1776,888,9.07461538461538
"33","Colaptes_atricollis",4,2,0.00707656612529001,0.786514478968507,0.00260698434503993,0.000152372781902552,0.655677133103518,7.80782935049316e-05,0.00448243757031097,0.705160956098796,0.00204949857122206,3091,0.139437075380136,309,3400,1854.5,81.6275
"34","Colibri_coruscans",51,17,0.00132795078351584,0.0953061175088375,0.000584486355569185,2.86822042457694e-05,0.0469616457567592,1.84585685766183e-05,0.000705811333350583,0.015003303347928,0.000816985840190186,2730,0.600732600732601,1300,4030,2665,7.7422
"35","Conirostrum_cinereum",75,37,0.00105639177541047,0.464479927107629,0.00013276022603687,1.69022916884378e-05,0.248092069166032,3.44397550820167e-06,0.000986596581675149,0.239523987184527,0.000205753120283372,4330,0.990993071593533,0,4330,2165,8.4103661971831
"36","Cranioleuca_albicapilla",12,9,-0.000737557629908148,0.0242447020593144,0.00147964657545504,-2.11592038996592e-05,0.025264755984085,4.15609153777126e-05,-0.000107770149325069,0.000542593675009631,0.00146265960174292,1969,0.502285424073134,2400,4369,3384.5,21.1141666666667
"37","Deconychura_longicauda",4,3,0.00151134251283556,0.0259035212161348,0.0065534423845416,3.95681068701643e-05,0.0766526548539225,9.71067067884992e-05,-8.81261743100896e-06,7.30137075285814e-07,0.00729268675964991,1400,0.334285714285714,0,1400,700,28.94
"38","Diglossa_brunneiventris",48,29,0.00189165699319349,0.194009102040639,0.000568483010886167,5.18695945950866e-05,0.189574978667293,1.5812474947584e-05,0.000592407329625896,0.0105308319526981,0.000846664399948733,2401,0.720533111203665,2000,4401,3200.5,11.8114583333333
"39","Diglossa_cyanea",27,12,-8.80841285552711e-05,0.000335637178616258,0.000961434565780041,-1.17220985774548e-05,0.0143428761859187,1.94348043429349e-05,0.000494714069554327,0.00388621326328417,0.00158407382611731,1892,0.825052854122622,1800,3692,2746,19.0485185185185
"40","Diglossa_mystacalis",20,8,0.00242731054276023,0.289830356174256,0.000895567256467133,8.66074071413925e-05,0.451225426710278,2.25122546408714e-05,-0.000935860223384653,0.0794619674487664,0.00075078562311462,1100,0.674545454545455,2500,3600,3050,15.831
