ORDER,FAMILY,GENUS,SPECIES,NUMB,SNST,STRAT,CNTAB,REL,MIN,QMIN,MAX,MIDPT-ELEV,QMAX,CP,RP,SUB,MICRO,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
APODIFORMES,TROCHILIDAE,Abeillia,abeillei,1181,M,U/M,UT,U,1000,,1850,850,,3,3,CAH,,2,1,F4,F15,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
GALLIFORMES,CRACIDAE,Aburria,aburri,448,H,C,UT,U,700,,2100,1400,,2,2,,,2,2,F4,F1,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
GALLIFORMES,CRACIDAE,Aburria,jacutinga,450,H,C,LT,R,0,,900,900,,1,1,o,,2,1,F1,F3,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
GALLIFORMES,CRACIDAE,Aburria,pipile,451,H,C,LT,F,0,,900,900,,4,2,,,3,4,F3,F1,F8,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,
GALLIFORMES,CRACIDAE,Aburria,cujubi,449,H,C,LT,F,0,,0,0,,3,2,o,,2,1,F3,F1,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
PASSERIFORMES,EMBERIZINAE,Acanthidops,bairdi,3171,M,T/M,MM,U/P,1500,,3000,1500,,3,2,CHR,B,1,1,F4E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,(striatus) erythronemius,348.51,M,C,MM,F,0,,3500,3500,,4,2,,,4,4,F4,F1,F9,F15,,,,Y,,,Y,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,Y,Y,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,gentilis,345,H,C,UM,R,2100,,3400,1300,,4,2,,,2,1,F10,F11,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,(striatus) striatus,348.52,L,C,US,F,1000,,3100,2100,,4,3,,,2,3,F11,F8,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,,,,,,,,,,,,
FALCONIFORMES,ACCIPITRIDAE,Accipiter,cooperii,344,M,C,US,F,600,,3000,2400,+,4,3,,,3,3,F7,F8,F11,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,
